time,ENV.pressure,ENV.temperature,PHOT.jNO2,PHOT.jO1D,PHOT.jO3P,PHOT.jHONO,PHOT.jHNO3,PHOT.jHNO4,PHOT.jNO3 -> NO,PHOT.jNO3 -> NO2,PHOT.jH2O2,PHOT.jHCHO -> H2,PHOT.jHCHO -> 2 HO2,PHOT.jALD,PHOT.jOP1,PHOT.jOP2,PHOT.jPAA,PHOT.jKET,PHOT.jGLY -> 0.13 HCHO,PHOT.jGLY -> 0.45 HCHO,PHOT.jMGLY,PHOT.jDCB1,PHOT.jONIT,PHOT.jMACR,PHOT.jHKET
900.0,1688.75,4.969166666666666,0.006392350000000001,1.6067850000000002e-05,0.00038339833333333334,0.0013783383333333334,4.06565e-07,2.691633333333333e-06,0.021545666666666668,0.16998333333333332,4.978066666666667e-06,2.970266666666667e-05,1.85495e-05,3.2717666666666663e-06,3.4205666666666665e-06,3.4205666666666665e-06,1.3171466666666667e-06,6.32085e-07,5.26145e-05,1.7046666666666664e-05,8.23215e-05,8.23215e-05,1.844e-06,1.1104716666666665e-06,0.0
930.0,1688.75,4.969166666666666,0.005447266666666667,9.851883333333333e-06,0.0003454833333333334,0.0011652133333333334,2.9458666666666667e-07,1.957266666666667e-06,0.019773,0.15485966666666667,3.9114e-06,2.4125e-05,1.42567e-05,2.3278333333333334e-06,2.7068333333333335e-06,2.7068333333333335e-06,1.0338799999999998e-06,4.62185e-07,4.6538999999999996e-05,1.3509683333333334e-05,6.912466666666667e-05,6.912466666666667e-05,1.363785e-06,9.049183333333333e-07,0.0
960.0,1688.75,4.969166666666666,0.0043023666666666665,4.94995e-06,0.00029806166666666666,0.0009101066666666667,1.8910833333333334e-07,1.2571616666666665e-06,0.01743,0.13490883333333334,2.7867333333333333e-06,1.7901333333333334e-05,9.829683333333333e-06,1.4470866666666666e-06,1.9469e-06,1.9469e-06,7.357066666666666e-07,2.9878166666666664e-07,3.8706666666666667e-05,9.720233333333332e-06,5.3807499999999996e-05,5.3807499999999996e-05,8.973083333333334e-07,6.7449e-07,0.0
990.0,1688.75,4.969166666666666,0.0029670833333333333,1.8197e-06,0.00023674000000000001,0.0006191316666666666,1.0091933333333333e-07,6.655533333333333e-07,0.014168449999999999,0.10744333333333334,1.6993833333333333e-06,1.146205e-05,5.704683333333333e-06,7.290616666666667e-07,1.201815e-06,1.201815e-06,4.47995e-07,1.5953066666666666e-07,2.857316666666667e-05,5.9945e-06,3.665783333333333e-05,3.665783333333333e-05,4.925216666666667e-07,4.342883333333333e-07,0.0
1020.0,1688.75,4.969166666666666,0.0016273933333333334,4.5224e-07,0.0001566765,0.0003378733333333333,4.2099333333333335e-08,2.6926e-07,0.009542416666666666,0.06976216666666667,8.332283333333334e-07,5.937016666666667e-06,2.591783333333333e-06,2.7487333333333334e-07,5.974883333333333e-07,5.974883333333333e-07,2.1932333333333333e-07,6.551866666666666e-08,1.6565316666666665e-05,2.979233333333333e-06,1.983133333333333e-05,1.983133333333333e-05,2.1085666666666668e-07,2.26095e-07,0.0
1050.0,1688.75,4.969166666666666,0.0005552783333333332,8.664650000000001e-08,4.7864833333333336e-05,0.000118323,1.042205e-08,5.939066666666666e-08,0.0028063,0.019726666666666667,2.5274333333333334e-07,1.9253e-06,6.648083333333334e-07,5.6550333333333336e-08,1.8549e-07,1.8549e-07,6.643266666666667e-08,1.521275e-08,5.0655833333333336e-06,9.14535e-07,6.3817e-06,6.3817e-06,5.166533333333333e-08,7.451266666666667e-08,0.0
1080.0,1688.75,4.969166666666666,3.5669499999999995e-05,1.1608433333333333e-08,6.610049999999999e-07,7.537383333333333e-06,6.578466666666667e-10,3.784733333333333e-09,2.0956333333333335e-05,0.00030586333333333334,1.4321666666666667e-08,1.0747649999999999e-07,3.61375e-08,4.0671666666666664e-09,1.0717433333333334e-08,1.0717433333333334e-08,3.768416666666667e-09,9.59465e-10,3.0550333333333335e-07,4.926233333333334e-08,4.0299833333333334e-07,4.0299833333333334e-07,3.0331833333333334e-09,4.3143833333333334e-09,0.0
1110.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1140.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
